producto,categoria,precio,Rubro,categoria,,569,electro
CABLE DRIVE 1.44,cables,0.54571,001-0030,cables,,,
CABLE FIBRA IBM 10M LC (MACHO)) - LC (MACHO),cables,58.23125,001-0030,cables,,,
CABLE HDMI  V1.4 1080P 5 MTS NOGA,cables,7.87952,001-0030,cables,,,
CABLE HDMI 2.O  X 1.5OM INT.CO,cables,7.01437,001-0030,cables,,,
CABLE HDMI 2.O (ULTRA HD 4K) X 1.5OM INT.CO,cables,5.51034,001-0030,cables,,,
CABLE HDMI FLEX FOXBOX 1.5M NEGRO,cables,6.22908,001-0030,cables,,,
CABLE HP SATA ML115G1 NHP,cables,17.21148,001-0030,cables,,,
CABLE HP SATA RAID ML110G4 ML150G3,cables,40.74356,001-0030,cables,,,
CABLE IBM ALIMENTACION 2m IRAM 2073,cables,26.62,001-0030,cables,,,
CABLE IBM ALIMENTACION DPI 63a Cord,cables,427.58375,001-0030,cables,,,
CABLE IBM USB Conversion option (UCO),cables,153.7305,001-0030,cables,,,
CABLE IDE ASUS NEGRO 45CM,cables,2.16953,001-0030,cables,,,
CABLE IDE COLORES VARIOS 45CM,cables,2.16953,001-0030,cables,,,
CABLE MICRO USB 1 MT TRV BLANCO,cables,3.5937,001-0030,cables,,,
CABLE MINIPLUG FOXBOX  BLANCO,cables,3.16778,001-0030,cables,,,
CABLE P/ CD ROM-SOUND CARD,cables,1.63713,001-0030,cables,,,
CABLE P/LECTOR DE CHEQUES MAGTEK 22530025/0005,cables,35.92369,001-0030,cables,,,
CABLE P/MODEM 1.8M ( TELEFONICO ),cables,2.2627,001-0030,cables,,,
CABLE P/MODEM DE 3M.,cables,6.02943,001-0030,cables,,,
